用戶ID,日期,當日天氣,心情指數,心情小語
1,2025-02-01,小雨,1,充滿能量的一天！
1,2025-02-02,雷陣雨,5,想要休息的一天。
1,2025-02-03,寒冷,8,情緒起伏比較大。
1,2025-02-04,雷陣雨,6,充滿能量的一天！
1,2025-02-05,酷熱,8,有點煩躁，但還能調適。
1,2025-02-06,晴天,5,有點疲憊，但努力中。
1,2025-02-07,酷熱,5,有點煩躁，但還能調適。
1,2025-02-08,大雨,10,有點煩躁，但還能調適。
1,2025-02-09,酷熱,1,想要休息的一天。
1,2025-02-10,雷陣雨,6,有點疲憊，但努力中。
1,2025-02-11,大雨,8,有點煩躁，但還能調適。
1,2025-02-12,小雨,2,情緒起伏比較大。
1,2025-02-13,雷陣雨,3,心情超級好！
1,2025-02-14,小雨,5,充滿能量的一天！
1,2025-02-15,晴天,3,遇到點挫折，但還可以。
1,2025-02-16,雷陣雨,1,想要休息的一天。
1,2025-02-17,大雨,10,有點煩躁，但還能調適。
1,2025-02-18,小雨,9,想要休息的一天。
1,2025-02-19,大雨,6,想要休息的一天。
1,2025-02-20,小雨,8,今天有些小確幸。
1,2025-02-21,小雨,8,想要休息的一天。
1,2025-02-22,多雲,8,非常滿足的一天。
1,2025-02-23,多雲,6,充滿能量的一天！
1,2025-02-24,小雨,6,充滿能量的一天！
1,2025-02-25,寒冷,4,有點煩躁，但還能調適。
1,2025-02-26,晴天,4,想要休息的一天。
1,2025-02-27,大雨,4,今天有些小確幸。
1,2025-02-28,寒冷,4,心情超級好！
1,2025-03-01,小雨,5,心情超級好！
1,2025-03-02,酷熱,7,平平淡淡的一天。
1,2025-03-03,大雨,7,平平淡淡的一天。
1,2025-03-04,大雨,6,充滿能量的一天！
1,2025-03-05,多雲,8,今天有些小確幸。
1,2025-03-06,晴天,9,情緒起伏比較大。
1,2025-03-07,雷陣雨,8,想要休息的一天。
1,2025-03-08,多雲,2,平平淡淡的一天。
1,2025-03-09,大雨,7,平平淡淡的一天。
1,2025-03-10,晴天,4,遇到點挫折，但還可以。
1,2025-03-11,多雲,7,今天有些小確幸。
1,2025-03-12,小雨,8,想要休息的一天。
1,2025-03-13,大雨,5,情緒起伏比較大。
1,2025-03-14,酷熱,10,今天有些小確幸。
1,2025-03-15,大雨,10,心情超級好！
1,2025-03-16,大雨,1,平平淡淡的一天。
1,2025-03-17,雷陣雨,3,今天有些小確幸。
1,2025-03-18,大雨,8,充滿能量的一天！
1,2025-03-19,酷熱,5,心情超級好！
1,2025-03-20,陰天,2,平平淡淡的一天。
1,2025-03-21,小雨,7,今天有些小確幸。
1,2025-03-22,晴天,2,遇到點挫折，但還可以。
1,2025-03-23,寒冷,2,有點煩躁，但還能調適。
1,2025-03-24,晴天,3,平平淡淡的一天。
1,2025-03-25,小雨,7,平平淡淡的一天。
1,2025-03-26,大雨,6,遇到點挫折，但還可以。
1,2025-03-27,晴天,10,情緒起伏比較大。
1,2025-03-28,雷陣雨,8,遇到點挫折，但還可以。
1,2025-03-29,多雲,5,今天有些小確幸。
1,2025-03-30,小雨,6,遇到點挫折，但還可以。
1,2025-03-31,酷熱,7,非常滿足的一天。
1,2025-04-01,小雨,9,有點煩躁，但還能調適。
1,2025-04-02,陰天,3,平平淡淡的一天。
1,2025-04-03,雷陣雨,9,情緒起伏比較大。
1,2025-04-04,寒冷,8,今天有些小確幸。
1,2025-04-05,晴天,7,想要休息的一天。
1,2025-04-06,寒冷,3,有點煩躁，但還能調適。
1,2025-04-07,晴天,8,平平淡淡的一天。
1,2025-04-08,雷陣雨,6,情緒起伏比較大。
1,2025-04-09,小雨,9,非常滿足的一天。
1,2025-04-10,晴天,3,平平淡淡的一天。
1,2025-04-11,小雨,5,今天有些小確幸。
1,2025-04-12,酷熱,7,有點疲憊，但努力中。
1,2025-04-13,多雲,8,想要休息的一天。
1,2025-04-14,小雨,4,有點煩躁，但還能調適。
1,2025-04-15,大雨,9,平平淡淡的一天。
1,2025-04-16,大雨,9,心情超級好！
1,2025-04-17,晴天,4,有點疲憊，但努力中。
1,2025-04-18,小雨,5,想要休息的一天。
1,2025-04-19,小雨,5,平平淡淡的一天。
1,2025-04-20,小雨,1,非常滿足的一天。
1,2025-04-21,陰天,6,今天有些小確幸。
1,2025-04-22,小雨,2,有點煩躁，但還能調適。
1,2025-04-23,大雨,2,想要休息的一天。
1,2025-04-24,寒冷,7,有點疲憊，但努力中。
1,2025-04-25,雷陣雨,7,平平淡淡的一天。
1,2025-04-26,酷熱,2,非常滿足的一天。
1,2025-04-27,陰天,3,今天有些小確幸。
1,2025-04-28,酷熱,9,平平淡淡的一天。
1,2025-04-29,酷熱,2,遇到點挫折，但還可以。
