用戶ID,日期,當日天氣,心情指數,心情小語
2,2025-01-07,酷熱,8,充滿能量的一天！
2,2025-01-08,雷陣雨,4,非常滿足的一天。
2,2025-01-09,小雨,9,心情超級好！
2,2025-01-10,酷熱,7,心情超級好！
2,2025-01-11,大雨,4,心情超級好！
2,2025-01-12,寒冷,1,充滿能量的一天！
2,2025-01-13,多雲,10,今天有些小確幸。
2,2025-01-14,寒冷,6,想要休息的一天。
2,2025-01-15,陰天,7,充滿能量的一天！
2,2025-01-16,小雨,1,今天有些小確幸。
2,2025-01-17,陰天,3,遇到點挫折，但還可以。
2,2025-01-18,多雲,7,有點疲憊，但努力中。
2,2025-01-19,大雨,6,情緒起伏比較大。
2,2025-01-20,多雲,1,有點疲憊，但努力中。
2,2025-01-21,大雨,9,心情超級好！
2,2025-01-22,雷陣雨,1,有點疲憊，但努力中。
2,2025-01-23,陰天,10,非常滿足的一天。
2,2025-01-24,小雨,4,非常滿足的一天。
2,2025-01-25,晴天,2,平平淡淡的一天。
2,2025-01-26,寒冷,2,充滿能量的一天！
2,2025-01-27,小雨,8,有點煩躁，但還能調適。
2,2025-01-28,寒冷,2,遇到點挫折，但還可以。
2,2025-01-29,晴天,8,心情超級好！
2,2025-01-30,雷陣雨,7,想要休息的一天。
2,2025-01-31,陰天,2,充滿能量的一天！
2,2025-02-01,陰天,2,平平淡淡的一天。
2,2025-02-02,陰天,8,遇到點挫折，但還可以。
2,2025-02-03,寒冷,1,今天有些小確幸。
2,2025-02-04,陰天,4,情緒起伏比較大。
2,2025-02-05,酷熱,4,今天有些小確幸。
2,2025-02-06,雷陣雨,1,非常滿足的一天。
2,2025-02-07,大雨,6,非常滿足的一天。
2,2025-02-08,陰天,5,有點煩躁，但還能調適。
2,2025-02-09,酷熱,5,有點煩躁，但還能調適。
2,2025-02-10,多雲,4,有點煩躁，但還能調適。
2,2025-02-11,多雲,5,情緒起伏比較大。
2,2025-02-12,多雲,5,有點疲憊，但努力中。
2,2025-02-13,雷陣雨,9,充滿能量的一天！
2,2025-02-14,多雲,7,心情超級好！
2,2025-02-15,雷陣雨,1,遇到點挫折，但還可以。
2,2025-02-16,陰天,5,想要休息的一天。
2,2025-02-17,大雨,2,充滿能量的一天！
2,2025-02-18,雷陣雨,1,充滿能量的一天！
2,2025-02-19,多雲,1,非常滿足的一天。
2,2025-02-20,雷陣雨,9,有點疲憊，但努力中。
2,2025-02-21,雷陣雨,1,非常滿足的一天。
2,2025-02-22,寒冷,9,有點煩躁，但還能調適。
2,2025-02-23,多雲,10,遇到點挫折，但還可以。
2,2025-02-24,雷陣雨,4,遇到點挫折，但還可以。
2,2025-02-25,晴天,2,遇到點挫折，但還可以。
2,2025-02-26,酷熱,9,平平淡淡的一天。
2,2025-02-27,雷陣雨,5,想要休息的一天。
2,2025-02-28,多雲,4,情緒起伏比較大。
2,2025-03-01,酷熱,10,想要休息的一天。
2,2025-03-02,多雲,1,想要休息的一天。
2,2025-03-03,小雨,4,情緒起伏比較大。
2,2025-03-04,多雲,1,情緒起伏比較大。
2,2025-03-05,晴天,7,心情超級好！
2,2025-03-06,晴天,5,有點疲憊，但努力中。
2,2025-03-07,小雨,10,充滿能量的一天！
2,2025-03-08,陰天,9,有點煩躁，但還能調適。
2,2025-03-09,小雨,1,今天有些小確幸。
2,2025-03-10,寒冷,3,心情超級好！
2,2025-03-11,小雨,8,有點疲憊，但努力中。
2,2025-03-12,陰天,5,平平淡淡的一天。
2,2025-03-13,酷熱,1,充滿能量的一天！
2,2025-03-14,小雨,5,心情超級好！
2,2025-03-15,酷熱,4,遇到點挫折，但還可以。
2,2025-03-16,多雲,2,有點煩躁，但還能調適。
2,2025-03-17,雷陣雨,8,非常滿足的一天。
2,2025-03-18,陰天,8,今天有些小確幸。
2,2025-03-19,酷熱,9,今天有些小確幸。
2,2025-03-20,雷陣雨,7,非常滿足的一天。
2,2025-03-21,陰天,1,非常滿足的一天。
2,2025-03-22,雷陣雨,2,今天有些小確幸。
2,2025-03-23,雷陣雨,9,充滿能量的一天！
2,2025-03-24,多雲,10,想要休息的一天。
2,2025-03-25,陰天,4,情緒起伏比較大。
2,2025-03-26,寒冷,4,有點疲憊，但努力中。
2,2025-03-27,寒冷,1,充滿能量的一天！
2,2025-03-28,多雲,10,非常滿足的一天。
2,2025-03-29,陰天,10,充滿能量的一天！
2,2025-03-30,晴天,1,情緒起伏比較大。
2,2025-03-31,酷熱,9,今天有些小確幸。
2,2025-04-01,陰天,2,想要休息的一天。
2,2025-04-02,寒冷,8,有點疲憊，但努力中。
2,2025-04-03,小雨,5,今天有些小確幸。
2,2025-04-04,寒冷,8,非常滿足的一天。
2,2025-04-05,酷熱,10,遇到點挫折，但還可以。
2,2025-04-06,晴天,1,有點煩躁，但還能調適。
2,2025-04-07,小雨,5,非常滿足的一天。
2,2025-04-08,酷熱,4,非常滿足的一天。
2,2025-04-09,酷熱,9,有點疲憊，但努力中。
2,2025-04-10,雷陣雨,7,有點煩躁，但還能調適。
2,2025-04-11,晴天,3,遇到點挫折，但還可以。
2,2025-04-12,小雨,2,想要休息的一天。
2,2025-04-13,多雲,4,平平淡淡的一天。
2,2025-04-14,陰天,2,想要休息的一天。
2,2025-04-15,寒冷,10,心情超級好！
2,2025-04-16,小雨,10,情緒起伏比較大。
2,2025-04-17,寒冷,6,遇到點挫折，但還可以。
2,2025-04-18,酷熱,7,情緒起伏比較大。
2,2025-04-19,雷陣雨,7,平平淡淡的一天。
2,2025-04-20,多雲,8,非常滿足的一天。
2,2025-04-21,寒冷,7,今天有些小確幸。
2,2025-04-22,多雲,9,充滿能量的一天！
2,2025-04-23,小雨,6,心情超級好！
2,2025-04-24,多雲,2,今天有些小確幸。
2,2025-04-25,寒冷,4,遇到點挫折，但還可以。
2,2025-04-26,多雲,1,有點煩躁，但還能調適。
2,2025-04-27,雷陣雨,7,想要休息的一天。
2,2025-04-28,晴天,5,平平淡淡的一天。
2,2025-04-29,酷熱,2,今天有些小確幸。
